codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
01001,País Vasco,Araba/Álava,Alegría-Dulantzi,2005,100,1438,71.72,1419,4,19,15.081042988019732,0,0,0,3.9464411557434813,0,0,0,0,0,0,0,0.8456659619450317,1.2684989429175475,27.76603241719521,7.047216349541931,0,21.42353770260747,19.45031712473573,2.8893587033121917
01002,País Vasco,Araba/Álava,Amurrio,8035,100,6227,77.5,6159,17,68,21.334632245494397,0,0,0,1.6723494073713265,0,0,0,0,0,0,0,0.6981652865724955,0.7631108946257509,34.87579152459815,5.033284624127293,0,16.820912485793148,16.057801591167397,2.4679331060237053
01003,País Vasco,Araba/Álava,Aramaio,1179,100,908,77.01,903,6,5,50.83056478405316,0,0,0,0,0,0,0,0,0,0,0,0.11074197120708748,0.33222591362126247,31.561461794019934,0.4429678848283499,0,4.097452934662237,11.295681063122924,0.6644518272425249
01004,País Vasco,Araba/Álava,Artziniega,1356,100,1007,74.26,998,3,9,20.04008016032064,0,0,0,1.9038076152304608,0,0,0,0,0,0,0,0.501002004008016,0.30060120240480964,35.97194388777555,8.517034068136272,0,13.42685370741483,17.034068136272545,2.004008016032064
01006,País Vasco,Araba/Álava,Armiñón,176,100,127,72.16,127,2,0,6.299212598425197,0,0,0,8.661417322834646,0,0,0,0,0,0,0,2.3622047244094486,2.3622047244094486,16.53543307086614,14.173228346456693,0,16.53543307086614,21.25984251968504,10.236220472440944
01008,País Vasco,Araba/Álava,Arratzua-Ubarrundia,802,100,576,71.82,567,3,9,20.458553791887127,0,0,0,4.232804232804233,0,0,0,0,0,0,0,0.5291005291005291,1.4109347442680775,28.747795414462082,14.285714285714286,0,15.343915343915343,12.522045855379188,1.9400352733686066
01009,País Vasco,Araba/Álava,Asparrena,1265,100,920,72.73,914,6,6,35.55798687089715,0,0,0,0.7658643326039387,0,0,0,0,0,0,0,0.5470459518599562,1.0940919037199124,26.695842450765863,3.063457330415755,0,12.36323851203501,17.833698030634572,1.4223194748358863
01010,País Vasco,Araba/Álava,Ayala / Aiara,2315,100,1789,77.28,1770,14,19,20,0,0,0,1.2994350282485876,0,0,0,0,0,0,0,0.7344632768361582,0.3389830508474576,41.86440677966102,6.214689265536723,0,11.073446327683616,15.706214689265536,1.9774011299435028
01011,País Vasco,Araba/Álava,Baños de Ebro / Mañueta,215,100,179,83.26,175,3,4,1.1428571428571428,0,0,0,6.857142857142857,0,0,0,0,0,0,0,0,0,36.57142857142857,28.571428571428573,0,16.571428571428573,4,4.571428571428571
01013,País Vasco,Araba/Álava,Barrundia,703,100,491,69.84,487,2,4,33.059548254620125,0,0,0,1.0266940451745379,0,0,0,0,0,0,0,0.2053388090349076,0.6160164271047228,31.211498973305954,7.597535934291581,0,10.677618069815194,14.784394250513348,0.4106776180698152
01014,País Vasco,Araba/Álava,Berantevilla,366,100,283,77.32,277,7,6,9.025270758122744,0,0,0,5.054151624548736,0,0,0,0,0,0,0,0.36101083032490977,0.7220216606498195,30.685920577617328,17.689530685920577,0,17.32851985559567,10.108303249097473,6.498194945848375
01016,País Vasco,Araba/Álava,Bernedo,421,100,236,56.06,229,3,7,20.96069868995633,0,0,0,1.3100436681222707,0,0,0,0,0,0,0,0.4366812227074236,0,33.624454148471614,14.847161572052402,0,12.663755458515285,12.663755458515285,2.183406113537118
01017,País Vasco,Araba/Álava,Campezo / Kanpezu,816,100,579,70.96,574,2,5,25.261324041811847,0,0,0,2.4390243902439024,0,0,0,0,0,0,0,1.2195121951219512,1.0452961672473868,35.19163763066202,7.839721254355401,0,13.414634146341463,11.67247386759582,1.5679442508710801
01018,País Vasco,Araba/Álava,Zigoitia,1408,100,998,70.88,993,6,5,27.593152064451157,0,0,0,2.014098690835851,0,0,0,0,0,0,0,0.4028197381671702,0.6042296072507553,26.384692849949648,8.559919436052366,0,14.19939577039275,17.119838872104733,2.5176233635448138
01019,País Vasco,Araba/Álava,Kripan,148,100,121,81.76,121,0,0,10.743801652892563,0,0,0,2.479338842975207,0,0,0,0,0,0,0,0,0,61.98347107438016,10.743801652892563,0,5.785123966942149,8.264462809917354,0
01020,País Vasco,Araba/Álava,Kuartango,320,100,239,74.69,238,1,1,31.51260504201681,0,0,0,0,0,0,0,0,0,0,0,0,0.8403361344537815,34.45378151260504,9.663865546218487,0,10.084033613445378,11.344537815126051,1.680672268907563
01021,País Vasco,Araba/Álava,Elburgo / Burgelu,469,100,333,71,330,1,3,12.121212121212121,0,0,0,2.121212121212121,0,0,0,0,0,0,0,0.6060606060606061,0.30303030303030304,33.63636363636363,15.454545454545455,0,15.454545454545455,13.333333333333334,6.666666666666667
01022,País Vasco,Araba/Álava,Elciego,761,100,577,75.82,569,5,8,6.502636203866432,0,0,0,4.569420035149385,0,0,0,0,0,0,0,0.8787346221441125,0.70298769771529,20.56239015817223,19.507908611599298,0,27.065026362038665,15.992970123022847,3.3391915641476273
01023,País Vasco,Araba/Álava,Elvillar / Bilar,262,100,210,80.15,206,3,4,11.16504854368932,0,0,0,2.912621359223301,0,0,0,0,0,0,0,0,0.4854368932038835,32.52427184466019,23.78640776699029,0,10.194174757281553,14.077669902912621,3.3980582524271843
01027,País Vasco,Araba/Álava,Iruraiz-Gauna,430,100,295,68.6,293,2,2,22.866894197952217,0,0,0,1.7064846416382253,0,0,0,0,0,0,0,1.3651877133105803,1.7064846416382253,37.8839590443686,6.825938566552901,0,9.897610921501707,15.358361774744028,1.7064846416382253
01028,País Vasco,Araba/Álava,Labastida / Bastida,1068,100,774,72.47,772,7,2,13.73056994818653,0,0,0,2.9792746113989637,0,0,0,0,0,0,0,0.12953367875647667,1.6839378238341969,21.632124352331605,20.33678756476684,0,18.523316062176164,16.45077720207254,3.626943005181347
01030,País Vasco,Araba/Álava,Lagrán,143,100,118,82.52,117,1,1,9.401709401709402,0,0,0,0.8547008547008547,0,0,0,0,0,0,0,0.8547008547008547,0,33.333333333333336,24.786324786324787,0,18.803418803418804,11.11111111111111,0
01031,País Vasco,Araba/Álava,Laguardia,1163,100,948,81.51,928,6,20,13.900862068965518,0,0,0,3.771551724137931,0,0,0,0,0,0,0,0.646551724137931,0.8620689655172413,22.844827586206897,24.137931034482758,0,15.732758620689655,12.607758620689655,4.849137931034483
01032,País Vasco,Araba/Álava,Lanciego / Lantziego,500,100,372,74.4,362,1,10,12.707182320441989,0,0,0,0.8287292817679558,0,0,0,0,0,0,0,0.27624309392265195,0.27624309392265195,32.04419889502763,16.298342541436465,0,22.099447513812155,12.98342541436464,2.2099447513812156
01033,País Vasco,Araba/Álava,Lapuebla de Labarca,656,100,533,81.25,525,1,8,7.428571428571429,0,0,0,3.619047619047619,0,0,0,0,0,0,0,0.19047619047619047,0.5714285714285714,41.523809523809526,14.857142857142858,0,18.857142857142858,10.857142857142858,1.9047619047619047
01034,País Vasco,Araba/Álava,Leza,150,100,111,74,111,2,0,18.01801801801802,0,0,0,0.9009009009009009,0,0,0,0,0,0,0,0.9009009009009009,0,45.04504504504504,2.7027027027027026,0,18.01801801801802,9.90990990990991,2.7027027027027026
01036,País Vasco,Araba/Álava,Laudio / Llodio,14772,94.3,10221,73.37,10124,64,97,18.83642828921375,0,0,0,2.192809166337416,0,0,0,0,0,0,0,0.4741209008297116,0.8494666139865665,29.6819438956934,6.805610430659819,0,20.811932042670882,17.749901224812326,1.9656262346898459
01037,País Vasco,Araba/Álava,Arraia-Maeztu,585,100,426,72.82,425,1,1,22.11764705882353,0,0,0,1.411764705882353,0,0,0,0,0,0,0,0.9411764705882353,0.9411764705882353,38.35294117647059,13.176470588235293,0,9.411764705882353,12.941176470588236,0.47058823529411764
01039,País Vasco,Araba/Álava,Moreda de Álava / Moreda Araba,195,100,157,80.51,153,0,4,10.457516339869281,0,0,0,3.2679738562091503,0,0,0,0,0,0,0,0.6535947712418301,0.6535947712418301,28.758169934640524,12.418300653594772,0,26.143790849673202,16.99346405228758,0.6535947712418301
01041,País Vasco,Araba/Álava,Navaridas,152,100,107,70.39,103,2,4,5.825242718446602,0,0,0,3.883495145631068,0,0,0,0,0,0,0,2.912621359223301,2.912621359223301,28.155339805825243,32.03883495145631,0,3.883495145631068,12.62135922330097,5.825242718446602
01042,País Vasco,Araba/Álava,Okondo,907,100,723,79.71,721,4,2,23.855755894590846,0,0,0,1.248266296809986,0,0,0,0,0,0,0,0.13869625520110956,0.6934812760055479,44.382801664355064,4.0221914008321775,0,7.212205270457698,16.50485436893204,1.3869625520110958
01043,País Vasco,Araba/Álava,Oyón-Oion,2337,100,1669,71.42,1656,18,13,10.869565217391305,0,0,0,8.152173913043478,0,0,0,0,0,0,0,0.7246376811594203,0.6642512077294686,14.070048309178745,15.458937198067632,0,25.966183574879228,18.659420289855074,4.3478260869565215
01044,País Vasco,Araba/Álava,Peñacerrada-Urizaharra,231,100,171,74.03,166,0,5,21.08433734939759,0,0,0,0.6024096385542169,0,0,0,0,0,0,0,0.6024096385542169,0.6024096385542169,27.710843373493976,15.662650602409638,0,22.289156626506024,11.44578313253012,0
01046,País Vasco,Araba/Álava,Erriberagoitia / Ribera Alta,631,100,464,73.53,461,0,3,11.062906724511931,0,0,0,2.1691973969631237,0,0,0,0,0,0,0,0.21691973969631237,1.3015184381778742,34.490238611713664,12.147505422993492,0,15.835140997830802,17.136659436008678,5.639913232104122
01047,País Vasco,Araba/Álava,Erriberabeitia,967,100,686,70.94,673,8,13,4.457652303120357,0,0,0,8.172362555720653,0,0,0,0,0,0,0,0.4457652303120357,1.0401188707280833,19.01931649331352,18.573551263001487,0,22.288261515601782,16.790490341753344,8.023774145616642
01049,País Vasco,Araba/Álava,Añana,132,100,100,75.76,100,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,46,10,0,9,10,2
01051,País Vasco,Araba/Álava,Agurain / Salvatierra,3558,100,2448,68.8,2433,14,15,28.976572133168926,0,0,0,1.8495684340320593,0,0,0,0,0,0,0,0.5343197698314838,0.5754212905877517,29.963008631319358,5.589806822852445,0,14.755445951500205,15.824085491163173,1.3563501849568433
01052,País Vasco,Araba/Álava,Samaniego,268,100,188,70.15,187,1,1,20.855614973262032,0,0,0,0,0,0,0,0,0,0,0,0.5347593582887701,1.0695187165775402,35.294117647058826,5.882352941176471,0,22.459893048128343,12.834224598930481,0.5347593582887701
01053,País Vasco,Araba/Álava,San Millán / Donemiliaga,592,100,376,63.51,373,2,3,31.367292225201073,0,0,0,1.3404825737265416,0,0,0,0,0,0,0,0.2680965147453083,0.8042895442359249,32.707774798927616,5.093833780160858,0,12.332439678284182,14.745308310991957,0.8042895442359249
01054,País Vasco,Araba/Álava,Urkabustaiz,1013,100,729,71.96,726,2,3,35.81267217630854,0,0,0,1.2396694214876034,0,0,0,0,0,0,0,0.5509641873278237,0.9641873278236914,28.236914600550964,3.994490358126722,0,10.881542699724518,16.2534435261708,1.790633608815427
01055,País Vasco,Araba/Álava,Valdegovía / Gaubea,840,100,608,72.38,602,10,6,16.27906976744186,0,0,0,2.4916943521594686,0,0,0,0,0,0,0,0.16611295681063123,0.8305647840531561,32.22591362126246,15.448504983388704,0,16.611295681063122,12.12624584717608,2.159468438538206
01056,País Vasco,Araba/Álava,Harana / Valle de Arana,205,100,134,65.37,134,0,0,18.65671641791045,0,0,0,1.492537313432836,0,0,0,0,0,0,0,0.746268656716418,1.492537313432836,53.73134328358209,10.447761194029852,0,6.7164179104477615,6.7164179104477615,0
01057,País Vasco,Araba/Álava,Villabuena de Álava / Eskuernaga,243,100,202,83.13,199,0,3,28.14070351758794,0,0,0,3.0150753768844223,0,0,0,0,0,0,0,0,1.5075376884422111,42.21105527638191,8.542713567839195,0,6.030150753768845,6.532663316582915,4.0201005025125625
01058,País Vasco,Araba/Álava,Legutio,1403,100,958,68.28,951,4,7,33.543638275499475,0,0,0,1.5772870662460567,0,0,0,0,0,0,0,0.4206098843322818,1.1566771819137749,27.655099894847528,4.6267087276550996,0,13.354363827549948,16.19348054679285,1.0515247108307044
01059,País Vasco,Araba/Álava,Vitoria-Gasteiz,189043,100,133120,70.42,131759,792,1361,11.836003612656441,0,0,0,4.447514021812552,0,0,0,0,0,0,0,0.6435992987196321,1.117950196950493,20.108683277802655,15.355307796810845,0,24.250335840435948,18.270478676978424,3.3690298195948665
01060,País Vasco,Araba/Álava,Yécora / Iekora,201,100,174,86.57,166,1,8,6.024096385542169,0,0,0,6.626506024096385,0,0,0,0,0,0,0,0.6024096385542169,0.6024096385542169,31.325301204819276,28.313253012048193,0,11.44578313253012,10.240963855421686,4.216867469879518
01061,País Vasco,Araba/Álava,Zalduondo,152,100,129,84.87,129,2,0,38.75968992248062,0,0,0,0.7751937984496124,0,0,0,0,0,0,0,0.7751937984496124,1.550387596899225,29.45736434108527,0.7751937984496124,0,7.751937984496124,17.05426356589147,1.550387596899225
01062,País Vasco,Araba/Álava,Zambrana,315,100,236,74.92,229,2,7,8.733624454148472,0,0,0,8.296943231441048,0,0,0,0,0,0,0,1.3100436681222707,1.7467248908296944,21.83406113537118,15.720524017467248,0,13.973799126637555,20.96069868995633,6.550218340611353
01063,País Vasco,Araba/Álava,Zuia,1830,100,1363,74.48,1353,4,10,24.68588322246859,0,0,0,2.5868440502586845,0,0,0,0,0,0,0,0.36954915003695493,0.7390983000739099,31.042128603104214,8.499630450849963,0,13.377679231337767,15.151515151515152,3.252032520325203
